good_nav_pix,tot_nav_pix,fidelity,Rover.pitch,Rover.roll
7002,12105,57.8,1.6074,1.4967
6785,11222,60.5,1.5733,1.4312
6867,10975,62.6,1.5473,1.4029
6849,10829,63.2,1.5331,1.3947
6849,10829,63.2,1.5331,1.3947
6803,10710,63.5,1.5191,1.3828
6724,10286,65.4,1.4265,1.2994
6724,10286,65.4,1.4265,1.2994
6568,9988,65.8,1.4617,1.3219
6682,10264,65.1,1.4468,1.3376
6489,9972,65.1,1.4735,1.3404
6489,9972,65.1,1.4735,1.3404
6647,10241,64.9,1.471,1.3467
6632,10244,64.7,1.4751,1.3403
6662,10240,65.1,1.4566,1.3323
6662,10240,65.1,1.4566,1.3323
6555,10059,65.2,1.4206,1.294
6291,9546,65.9,1.388,1.2612
6063,9016,67.2,1.3353,1.2265
5917,8337,71.0,1.2926,1.178
5917,8337,71.0,1.2926,1.178
5738,7755,74.0,1.3107,1.1947
5796,7899,73.4,1.3105,1.202
5858,8107,72.3,1.2982,1.2552
5858,8107,72.3,1.2982,1.2552
5569,7584,73.4,1.3574,1.2376
5994,8658,69.2,1.3898,1.2648
6062,9015,67.2,1.4047,1.2834
6062,9015,67.2,1.4047,1.2834
6181,9287,66.6,1.3836,1.2641
6015,8865,67.9,1.369,1.2411
6021,8775,68.6,1.3082,1.2385
6021,8775,68.6,1.3082,1.2385
5646,7724,73.1,1.2942,1.1816
5992,8761,68.4,1.3521,1.2752
5992,8761,68.4,1.3521,1.2752
5894,8251,71.4,1.3963,1.271
6166,9256,66.6,1.4081,1.2666
6280,9500,66.1,1.4034,1.2782
6280,9500,66.1,1.4034,1.2782
6187,9358,66.1,1.3746,1.2947
5939,8730,68.0,1.3752,1.2494
6112,9045,67.6,1.4306,1.3043
6112,9045,67.6,1.4306,1.3043
6344,9664,65.6,1.4387,1.3471
6318,9665,65.4,1.5077,1.359
6760,10532,64.2,1.5559,1.4163
6760,10532,64.2,1.5559,1.4163
6791,10768,63.1,1.611,1.4651
6846,11327,60.4,1.6393,1.4863
6841,11696,58.5,1.652,1.4742
6841,11696,58.5,1.652,1.4742
6956,12038,57.8,1.6311,1.4896
6865,11658,58.9,1.582,1.4529
6778,11054,61.3,1.5636,1.4141
6778,11054,61.3,1.5636,1.4141
6829,10873,62.8,1.5016,1.3643
6709,10401,64.5,1.4344,1.3202
6353,9668,65.7,1.4308,1.2919
6353,9668,65.7,1.4308,1.2919
6414,9746,65.8,1.4232,1.2928
6313,9595,65.8,1.3983,1.2789
6154,9198,66.9,1.3981,1.2538
6154,9198,66.9,1.3981,1.2538
6236,9381,66.5,1.3847,1.2596
6092,9038,67.4,1.3645,1.2534
5969,8724,68.4,1.3268,1.2631
5710,8071,70.7,1.3222,1.223
5710,8071,70.7,1.3222,1.223
5943,8433,70.5,1.393,1.2567
6194,9203,67.3,1.4202,1.2958
6303,9511,66.3,1.4478,1.3166
6303,9511,66.3,1.4478,1.3166
6543,10020,65.3,1.4534,1.3463
6495,9971,65.1,1.4452,1.3751
6292,9716,64.8,1.4325,1.337
6292,9716,64.8,1.4325,1.337
6460,9881,65.4,1.4505,1.325
6577,10061,65.4,1.445,1.2763
6662,10134,65.7,1.4106,1.28
6662,10134,65.7,1.4106,1.28
6240,9437,66.1,1.3883,1.2673
6100,9077,67.2,1.3388,1.2198
6003,8670,69.2,1.3654,1.2338
6003,8670,69.2,1.3654,1.2338
6049,8821,68.6,1.3908,1.2632
6336,9613,65.9,1.4221,1.2985
6336,9613,65.9,1.4221,1.2985
6300,9535,66.1,1.4246,1.2986
6332,9601,66.0,1.4729,1.3346
6667,10308,64.7,1.5049,1.3672
6667,10308,64.7,1.5049,1.3672
6718,10447,64.3,1.5222,1.3859
6726,10525,63.9,1.5247,1.3905
6734,10540,63.9,1.5367,1.4021
6745,10660,63.3,1.5419,1.3968
6745,10660,63.3,1.5419,1.3968
6808,10698,63.6,1.5221,1.3833
6751,10547,64.0,1.5147,1.3768
6746,10531,64.1,1.485,1.3552
6746,10531,64.1,1.485,1.3552
6648,10223,65.0,1.4613,1.3214
6699,10314,65.0,1.4986,1.3522
6864,11252,61.0,1.6265,1.4678
6864,11252,61.0,1.6265,1.4678
6881,11504,59.8,1.695,1.5472
6928,12529,55.3,1.7374,1.5784
7040,13551,52.0,1.7403,1.6018
7040,13551,52.0,1.7403,1.6018
6992,13433,52.1,1.7253,1.5732
7027,13300,52.8,1.693,1.5389
6965,12573,55.4,1.6888,1.5302
6986,12547,55.7,1.6447,1.5077
6986,12547,55.7,1.6447,1.5077
6833,11633,58.7,1.6337,1.4726
6926,11661,59.4,1.583,1.4317
6849,11085,61.8,1.5425,1.405
6781,10686,63.5,1.5626,1.403
6781,10686,63.5,1.5626,1.403
6856,10872,63.1,1.5931,1.4483
6819,11081,61.5,1.638,1.4556
6789,11475,59.2,1.5959,1.5052
6789,11475,59.2,1.5959,1.5052
6704,11021,60.8,1.5763,1.4408
6783,10999,61.7,1.5499,1.4058
6781,10745,63.1,1.5298,1.3852
6759,10562,64.0,1.5097,1.3737
6759,10562,64.0,1.5097,1.3737
6695,10418,64.3,1.5458,1.3963
6796,10737,63.3,1.5832,1.445
6737,11184,60.2,1.6223,1.4886
6737,11184,60.2,1.6223,1.4886
6783,11616,58.4,1.6396,1.4914
6743,11308,59.6,1.5739,1.4353
6743,11308,59.6,1.5739,1.4353
6781,10994,61.7,1.5337,1.3981
6781,10853,62.5,1.4432,1.305
6488,10043,64.6,1.4099,1.2834
6488,10043,64.6,1.4099,1.2834
6094,9240,66.0,1.3936,1.2629
5679,8032,70.7,1.329,1.2081
5679,8032,70.7,1.329,1.2081
5821,8273,70.4,1.3585,1.2318
5855,8538,68.6,1.3447,1.2303
5855,8538,68.6,1.3447,1.2303
5856,8536,68.6,1.3337,1.2609
5792,8234,70.3,1.3392,1.2179
5792,8234,70.3,1.3392,1.2179
5741,8141,70.5,1.3623,1.2351
5875,8461,69.4,1.37,1.2469
5841,8530,68.5,1.3918,1.2494
5841,8530,68.5,1.3918,1.2494
5974,8876,67.3,1.3989,1.276
5882,8781,67.0,1.3715,1.2697
5772,8310,69.5,1.3719,1.244
5772,8310,69.5,1.3719,1.244
5877,8586,68.4,1.3486,1.2244
5736,8125,70.6,1.3482,1.2225
5762,8252,69.8,1.3589,1.223
5762,8252,69.8,1.3589,1.223
5899,8661,68.1,1.3912,1.2581
5926,8859,66.9,1.4213,1.2962
5882,8888,66.2,1.4197,1.2642
5882,8888,66.2,1.4197,1.2642
6180,9458,65.3,1.3631,1.2491
5813,8498,68.4,1.3191,1.1968
5698,7943,71.7,1.3168,1.1946
5700,7858,72.5,1.3296,1.2107
5700,7858,72.5,1.3296,1.2107
5717,7949,71.9,1.3497,1.2226
5752,8194,70.2,1.3594,1.2326
5605,7846,71.4,1.3423,1.1829
5605,7846,71.4,1.3423,1.1829
5899,8441,69.9,1.3186,1.1911
5714,8012,71.3,1.3216,1.2026
5754,8136,70.7,1.3804,1.2552
5754,8136,70.7,1.3804,1.2552
5920,8772,67.5,1.4103,1.2983
6471,10110,64.0,1.5136,1.377
6535,10306,63.4,1.4675,1.3793
6535,10306,63.4,1.4675,1.3793
6188,9720,63.7,1.4658,1.3008
5688,7914,71.9,1.3059,1.1874
5597,7564,74.0,1.2697,1.1573
5422,7071,76.7,1.2828,1.1326
5592,7323,76.4,1.2641,1.1909
5288,6887,76.8,1.3269,1.1681
5777,8126,71.1,1.3279,1.2215
5647,7918,71.3,1.3478,1.2197
5808,8180,71.0,1.3766,1.233
5890,8649,68.1,1.4126,1.2837
6604,10405,63.5,1.5368,1.4013
6669,10818,61.6,1.5502,1.4105
6610,10508,62.9,1.5188,1.3747
6552,10399,63.0,1.5144,1.3764
6541,10354,63.2,1.486,1.3698
6365,9960,63.9,1.4908,1.3504
6159,9484,64.9,1.4474,1.3168
6491,10345,62.7,1.5273,1.386
6684,11128,60.1,1.6188,1.4715
